data,valor,codigo_sgs,nome_indicador,unidade_medida,descricao_indicador,id_categoria
01/07/1994,6495066,1785,Base Monetária,Milhares de Unidades Monetarias,"A base monetária corresponde ao passivo monetário do Banco Central, também conhecido como emissão primária de moeda. Inclui a moeda em circulação e as reservas bancárias.",1
01/08/1994,9070471,1785,Base Monetária,Milhares de Unidades Monetarias,"A base monetária corresponde ao passivo monetário do Banco Central, também conhecido como emissão primária de moeda. Inclui a moeda em circulação e as reservas bancárias.",1
01/09/1994,11233046,1785,Base Monetária,Milhares de Unidades Monetarias,"A base monetária corresponde ao passivo monetário do Banco Central, também conhecido como emissão primária de moeda. Inclui a moeda em circulação e as reservas bancárias.",1
01/10/1994,12835101,1785,Base Monetária,Milhares de Unidades Monetarias,"A base monetária corresponde ao passivo monetário do Banco Central, também conhecido como emissão primária de moeda. Inclui a moeda em circulação e as reservas bancárias.",1
01/11/1994,14010110,1785,Base Monetária,Milhares de Unidades Monetarias,"A base monetária corresponde ao passivo monetário do Banco Central, também conhecido como emissão primária de moeda. Inclui a moeda em circulação e as reservas bancárias.",1
01/12/1994,17265013,1785,Base Monetária,Milhares de Unidades Monetarias,"A base monetária corresponde ao passivo monetário do Banco Central, também conhecido como emissão primária de moeda. Inclui a moeda em circulação e as reservas bancárias.",1
01/01/1995,16863488,1785,Base Monetária,Milhares de Unidades Monetarias,"A base monetária corresponde ao passivo monetário do Banco Central, também conhecido como emissão primária de moeda. Inclui a moeda em circulação e as reservas bancárias.",1
01/02/1995,15800526,1785,Base Monetária,Milhares de Unidades Monetarias,"A base monetária corresponde ao passivo monetário do Banco Central, também conhecido como emissão primária de moeda. Inclui a moeda em circulação e as reservas bancárias.",1
01/03/1995,15660830,1785,Base Monetária,Milhares de Unidades Monetarias,"A base monetária corresponde ao passivo monetário do Banco Central, também conhecido como emissão primária de moeda. Inclui a moeda em circulação e as reservas bancárias.",1
01/04/1995,14535154,1785,Base Monetária,Milhares de Unidades Monetarias,"A base monetária corresponde ao passivo monetário do Banco Central, também conhecido como emissão primária de moeda. Inclui a moeda em circulação e as reservas bancárias.",1
01/05/1995,14433295,1785,Base Monetária,Milhares de Unidades Monetarias,"A base monetária corresponde ao passivo monetário do Banco Central, também conhecido como emissão primária de moeda. Inclui a moeda em circulação e as reservas bancárias.",1
01/06/1995,14666442,1785,Base Monetária,Milhares de Unidades Monetarias,"A base monetária corresponde ao passivo monetário do Banco Central, também conhecido como emissão primária de moeda. Inclui a moeda em circulação e as reservas bancárias.",1
01/07/1995,15382345,1785,Base Monetária,Milhares de Unidades Monetarias,"A base monetária corresponde ao passivo monetário do Banco Central, também conhecido como emissão primária de moeda. Inclui a moeda em circulação e as reservas bancárias.",1
01/08/1995,14980630,1785,Base Monetária,Milhares de Unidades Monetarias,"A base monetária corresponde ao passivo monetário do Banco Central, também conhecido como emissão primária de moeda. Inclui a moeda em circulação e as reservas bancárias.",1
01/09/1995,15019411,1785,Base Monetária,Milhares de Unidades Monetarias,"A base monetária corresponde ao passivo monetário do Banco Central, também conhecido como emissão primária de moeda. Inclui a moeda em circulação e as reservas bancárias.",1
